고유번호,구명,정원수,위도,경도
330,전주시 덕진구,97,35.8742392,127.0845942
331,전주시 덕진구,99,35.86283431,127.1270365
332,전주시 덕진구,124,35.84293706,127.1721222
333,전주시 덕진구,97,35.84256405,127.1546094
334,전주시 덕진구,51,35.86351741,127.1280246
335,전주시 덕진구,36,35.40928672,127.3883232
336,전주시 덕진구,34,35.86127244,127.1277148
337,전주시 덕진구,39,35.85053933,127.1059073
338,전주시 덕진구,138,35.86320662,127.1286472
339,전주시 덕진구,31,35.85803894,127.1500749
340,전주시 덕진구,65,35.82717977,127.1628614
341,전주시 덕진구,48,35.86704037,127.1287305
342,전주시 덕진구,77,35.82536401,127.1619225
343,전주시 덕진구,66,35.82530633,127.1659514
344,전주시 덕진구,42,35.82771785,127.1644943
345,전주시 덕진구,87,37.36539093,126.9646147
346,전주시 덕진구,200,35.87354945,127.0858967
347,전주시 덕진구,49,35.82822219,127.1640304
348,전주시 덕진구,90,35.87278566,127.078343
349,전주시 덕진구,114,35.84244963,127.1718914
350,전주시 덕진구,80,37.40469464,126.8983446
351,전주시 덕진구,49,35.84028419,127.1462137
352,전주시 덕진구,92,35.83707674,127.1434186
353,전주시 덕진구,137,35.87294559,127.1485422
354,전주시 덕진구,30,35.83363228,127.1651422
355,전주시 덕진구,87,35.87251773,127.142548
356,전주시 덕진구,34,35.84565766,127.1586467
357,전주시 덕진구,37,35.86606542,127.1134098
358,전주시 덕진구,37,35.84540711,127.1557548
359,전주시 덕진구,99,35.86431071,127.1587415
360,전주시 덕진구,49,35.82757705,127.1643754
361,전주시 덕진구,49,35.83417217,127.154403
362,전주시 덕진구,422,35.86025649,127.1133978
363,전주시 덕진구,49,35.87372145,127.1465096
364,전주시 덕진구,49,35.84049763,127.1455234
365,전주시 덕진구,99,35.83550068,127.1676777
366,전주시 덕진구,87,35.82895729,127.170484
367,전주시 덕진구,90,35.83638849,127.1594804
368,전주시 덕진구,30,35.83986196,127.1658519
369,전주시 덕진구,181,35.86119822,127.1088128
370,전주시 덕진구,39,35.82565196,127.1722289
371,전주시 덕진구,49,35.82470458,127.1709512
372,전주시 덕진구,99,35.83487138,127.1666664
373,전주시 덕진구,66,35.8360368,127.137145
374,전주시 덕진구,38,35.86500788,127.1266799
375,전주시 덕진구,39,35.84746673,127.104815
376,전주시 덕진구,99,35.854153,127.1527259
377,전주시 덕진구,72,35.86931383,127.1244985
378,전주시 덕진구,30,35.83271067,127.1653216
379,전주시 덕진구,61,35.83381368,127.1685981
380,전주시 덕진구,99,35.74887589,127.5382769
381,전주시 덕진구,82,35.86311822,127.1256559
382,전주시 덕진구,22,35.83068716,127.169083
383,전주시 덕진구,99,35.86024642,127.090539
384,전주시 덕진구,24,35.86790491,127.0771191
385,전주시 덕진구,288,35.85705228,127.1223851
386,전주시 덕진구,79,35.8677227,127.1299145
387,전주시 덕진구,25,35.86221293,127.1496314
388,전주시 덕진구,27,35.83772385,127.1537674
389,전주시 덕진구,25,35.86368647,127.1478208
390,전주시 덕진구,82,35.84139662,127.1466537
391,전주시 덕진구,76,35.87216397,127.1435408
392,전주시 덕진구,39,35.87499416,127.0712831
393,전주시 덕진구,39,35.84261453,127.1440857
394,전주시 덕진구,46,35.86477149,127.1317063
395,전주시 덕진구,112,35.83885522,127.1425589
396,전주시 덕진구,36,35.86629341,127.1456216
397,전주시 덕진구,108,35.86438273,127.133947
398,전주시 덕진구,59,35.83994842,127.1548923
399,전주시 덕진구,49,38.05509209,126.9704069
400,전주시 덕진구,27,35.83725553,127.1393008
401,전주시 덕진구,44,35.85298273,127.1189031
402,전주시 덕진구,34,35.86112204,127.0604973
403,전주시 덕진구,40,35.84094399,127.1117026
404,전주시 덕진구,91,35.8723671,127.0688154
405,전주시 덕진구,37,35.82733654,127.1675484
406,전주시 덕진구,24,35.83895266,127.1133424
407,전주시 덕진구,39,35.84567341,127.110156
408,전주시 덕진구,35,35.84520125,127.1096612
409,전주시 덕진구,21,35.84629754,127.1083656
410,전주시 덕진구,99,35.83893136,127.1147066
411,전주시 덕진구,39,35.84537965,127.1103948
412,전주시 덕진구,85,35.85904091,127.1258648
413,전주시 덕진구,71,35.85796359,127.1243543
414,전주시 덕진구,21,37.68082139,127.3402909
415,전주시 덕진구,40,37.67063847,127.2513057
416,전주시 덕진구,45,35.84396945,127.0573225
417,전주시 덕진구,57,35.83987476,127.0624036
418,전주시 덕진구,47,35.84282614,127.1068885
419,전주시 덕진구,23,35.87540248,127.0808751
420,전주시 덕진구,64,35.83993311,127.0610976
421,전주시 덕진구,45,35.83993216,127.0564009
422,전주시 덕진구,29,35.84431959,127.1079238
423,전주시 덕진구,38,35.84567354,127.1475257
424,전주시 덕진구,26,35.84571307,127.0589108
425,전주시 덕진구,33,35.86374099,127.1299748
