학교명,주소,위도,경도
백운초등학교,전라북도 진안군 백운면 임진로 1340-8,35.69173286,127.3992627
우덕초등학교,전라북도 부안군 상서면 부안로 1971,35.68361214,126.6761647
마룡초등학교,전라북도 군산시 서수면 청룡로 123,36.0024423,126.8781798
전주원동초등학교,전라북도 전주시 덕진구 원동로 3,35.8511411,127.0334949
신시도초등학교,전라북도 군산시 옥도면 신시도2길 18-5,35.81567454,126.450957
이리마한초등학교,전라북도 익산시 무왕로17길 47,35.962384,126.9787336
전주서원초등학교,전라북도 전주시 완산구 오두정길 45,35.80930758,127.1186619
태인초등학교,전라북도 정읍시 태인면 동헌길 16,35.65381454,126.9466315
용봉초등학교,전라북도 완주군 봉동읍 완주로 449,35.90580105,127.1559487
청웅초등학교,전라북도 임실군 청웅면 청웅로 188,35.57142583,127.2049038
영만초등학교,전라북도 익산시 오산면 선화로4길 42-9,35.94770926,126.9309766
능교초등학교,전라북도 정읍시 산내면 능교3길 13-5,35.56762269,127.0317154
남원교룡초등학교,전라북도 남원시 광천남길 654,35.41665571,127.3782083
소성초등학교,전라북도 정읍시 소성면 보화1길 130,35.55442787,126.777239
광활초등학교,전라북도 김제시 광활면 광활11길 37,35.8339488,126.7403602
정읍수성초등학교,전라북도 정읍시 수성3로 21,35.58437716,126.857349
전주금암초등학교,전라북도 전주시 덕진구 권삼득로 210,35.83809479,127.1368539
순창초등학교,전라북도 순창군 순창읍 순창7길 40,35.37514363,127.1391902
용지초등학교,전라북도 김제시 용지면 용지로 432,35.85195661,126.9538795
남원초등학교,전라북도 남원시 가방뜰길 18,35.40242332,127.3746726
정일초등학교,전라북도 정읍시 정문들목길 26-19,35.58979214,126.81992
이성초등학교,전라북도 완주군 이서면 대문안1길 23,35.79757103,127.0450394
전주문정초등학교,전라북도 전주시 완산구 구이로 1979,35.77555003,127.1280733
풍산초등학교,전라북도 순창군 풍산면 금풍로 997-10,35.33714861,127.1380791
백산초등학교,전라북도 부안군 백산면 백산로 306-7,35.70207422,126.7881032
공덕초등학교,전라북도 김제시 공덕면 공덕로 248,35.89465475,126.9116039
군산산북초등학교,전라북도 군산시 원산북2길 29,35.96427778,126.681832
오산남초등학교,전라북도 익산시 오산면 남전1길 27,35.92784436,126.8934248
정읍서초등학교,전라북도 정읍시 명륜길 32,35.57046845,126.8474924
산동초등학교,전라북도 남원시 산동면 요천로 2929,35.49231232,127.4767197
주산초등학교,전라북도 부안군 주산면 주산초교길 86-11,35.66647663,126.7146639
영산초등학교,전라북도 정읍시 하북1길 217,35.59908625,126.8625184
전주효문초등학교,전라북도 전주시 완산구 거마평로 105,35.80153545,127.1164974
전주만수초등학교,전라북도 전주시 덕진구 호성로 130,35.86298745,127.1476434
이리백제초등학교,전라북도 익산시 궁동로 29,35.9623371,126.9739481
