,학교명,주소,위도,경도
252,,전라북도 전주시 덕진구 시천로 29-30,35.86053852,127.1133768
253,,전라북도 전주시 덕진구 백동5길 19,35.84769394,127.1498872
254,,전라북도 전주시 덕진구 두간6길 9,35.86635257,127.117808
255,,전라북도 전주시 덕진구 송천동1가 송천로 31,35.85596687,127.1181839
256,,전라북도 전주시 덕진구 쪽구름로 13,35.86705277,127.0786489
257,,전라북도 전주시 덕진구 심방죽로 16,35.83772388,127.1511819
258,,전라북도 전주시 덕진구 한배미로 33,35.82450963,127.1687272
259,,전라북도 전주시 덕진구 붓내3길 29,35.86931383,127.1244985
260,,전라북도 전주시 덕진구 송천동2가 사근1길 11,35.8682208,127.1283436
261,,전라북도 전주시 덕진구 송천동2가 천마산로 115,35.86515489,127.1353493
262,,전라북도 전주시 덕진구 아중로 180,35.82660395,127.1702745
263,,전라북도 전주시 덕진구 송천동2가 사근1길 11,35.8682208,127.1283436
264,,전라북도 전주시 덕진구 솔내6길 7,35.85876844,127.1224823
265,,전라북도 전주시 덕진구 중상보로 10,35.83068716,127.169083
266,,전라북도 전주시 덕진구 태진로 101,35.83051122,127.1356868
267,,전라북도 전주시 덕진구 팔복1길 6,35.84746673,127.104815
268,,전라북도 전주시 덕진구 안덕원로 251,35.83772385,127.1537674
269,,전라북도 전주시 덕진구 두간6길 7,35.86591628,127.1177993
270,,전라북도 전주시 덕진구 진버들3길 10,35.83528993,127.162982
271,,전라북도 전주시 덕진구 인후동1가 한배미로 5,35.82560666,127.1668431
272,,전라북도 전주시 덕진구 동부대로 785,35.85725253,127.1550982
273,,전라북도 전주시 덕진구 쪽구름로 13,35.86705277,127.0786489
274,,전라북도 전주시 덕진구 무삼지로 32,35.82858746,127.164768
275,,전라북도 전주시 덕진구 호성동1가 호성로 136,35.86434943,127.1475255
276,,전라북도 전주시 덕진구 석소로 27,35.8297226,127.1689167
277,,전라북도 전주시 덕진구 솔내로 142,35.86251929,127.1288431
