학교명,주소,위도,경도
김제농생명마이스터고등학교,전라북도 김제시 남북9길 23,35.79232044,126.8904612
백화여자고등학교,전라북도 장수군 장계면 백화로 4-31,35.72778418,127.5861808
전북체육고등학교,전라북도 완주군 소양면 원암로 46,35.8655498,127.2506488
남원용성고등학교,전라북도 남원시 농고길 41,35.41795647,127.3929209
고산고등학교,전라북도 완주군 고산면 고산천로 551-23,35.9798988,127.20166
완주고등학교,전라북도 완주군 봉동읍 봉동로 172,35.94076736,127.1662965
임실고등학교,전라북도 임실군 임실읍 봉황로 257,35.62192952,127.2867026
전북과학고등학교,전라북도 익산시 금마면 용순신기길 48-69,36.01457166,127.0347845
전주고등학교,전라북도 전주시 완산구 권삼득로 2,35.82470798,127.1525515
순창제일고등학교,전라북도 순창군 순창읍 담순로 1411,35.37893092,127.1514256
동암고등학교,전라북도 전주시 완산구 소태정4길 1,35.80652136,127.1012295
전주한일고등학교,전라북도 전주시 완산구 백제대로 442,35.83124557,127.1236324
고창여자고등학교,전라북도 고창군 고창읍 모양성로 95,35.4393866,126.6990768
전라고등학교,전라북도 전주시 덕진구 솔내7길 25,35.8607435,127.1251438
신태인고등학교,전라북도 정읍시 신태인읍 서태길 108,35.69198096,126.8937261
전주제일고등학교,전라북도 전주시 완산구 관선5길 15,35.82095883,127.1580639
서림고등학교,전라북도 부안군 부안읍 용암로 70-5,35.72113791,126.7428757
태인고등학교,전라북도 정읍시 태인면 석지로 1469,35.65264756,126.9389432
정주고등학교,전라북도 정읍시 정주1길 42,35.54287125,126.8902183
전북여자고등학교,전라북도 전주시 덕진구 여산로 232,35.87301072,127.0840677
김제자영고등학교농업계공동실습소,전라북도 김제시 백산면 상동로 109,35.8346141,126.9214294
전주여자고등학교,전라북도 전주시 덕진구 모래내6길 14,35.83662729,127.145885
상산고등학교,전라북도 전주시 완산구 거마평로 130,35.80508487,127.1197274
부안제일고등학교,전라북도 부안군 행안면 춘헌길 1,35.72864208,126.7225062
한들고등학교,전라북도 군산시 대야면 만자로 60,35.94316674,126.8050803
전주공업고등학교,전라북도 전주시 덕진구 여산로 101,35.86235186,127.0753697
